cat_clean,analysis_universe,analysis_universe_label,sales,count,user_weeks,subcats,share_of_crypto_sales,share_of_crypto_count
Services,primary_crypto_services,Primary crypto services,40365899.33,176366,95358,1,0.4458001689358023,0.5543207005148256
Other,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,19434342.74,53764,31749,6,0.2146324848560802,0.1689809721969035
Loans,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,12183875.03,28685,16879,6,0.13455846734052446,0.09015733925057988
Travel,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,3986487.02,9545,6543,6,0.044026681344259876,0.03000006286026791
Restaurants & Dining,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,3535173.59,12614,7402,6,0.03904238502790188,0.03964597097112828
Service Charges & Fees,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,3423237.25,10215,6087,6,0.03780616237188964,0.032105881835268385
Education,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,2892429.85,9980,6598,5,0.03194393627213551,0.03136727368732046
Entertainment & Recreation,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,1944217.52,4711,3132,6,0.021471898638457675,0.014806736106309285
Telecom & Internet,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,556507.63,2908,1910,5,0.006146058915716544,0.009139882954181151
Personal & Family,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,539215.36,2074,1436,5,0.005955083438513333,0.006518609782314892
Subscriptions & Online Services,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,293568.32,1558,794,6,0.0032421625387381078,0.0048968148702249765
Electronics & Merchandise,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,261258.92,1854,1289,5,0.0028853381840900825,0.005827146835299812
Groceries,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,229794.74,918,576,5,0.0025378484218837485,0.0028852862970901983
Home Improvement,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,204662.4,997,669,4,0.002260287371499193,0.0031335843553365224
Automotive & Fuel,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,194120.21,485,319,5,0.002143859640147733,0.0015243614968286994
Insurance,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,140437.06,420,294,5,0.0015509840264185044,0.0013200656261196984
Healthcare & Medical,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,77294.51,293,208,6,0.0008536389920142543,0.0009209029248882658
Rent,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,74070.37,248,206,6,0.0008180316556107653,0.0007794673220897268
Mortgage,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,61312.74,152,115,4,0.0006771366500833248,0.00047773803611950996
Office & Business,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,54056.14,214,123,1,0.0005969949076820774,0.0006726048666419416
Utilities,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,28910.0,12,12,5,0.00031928145037897373,3.77161607462771e-05
Taxes,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,22857.27,62,49,5,0.0002524352237047321,0.0001948668305224317
Charitable Giving & Gifts,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,22219.88,33,31,4,0.0002453959015443359,0.00010371944205226202
Clothing & Personal Care,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,15527.630000000001,18,13,5,0.00017148682903313955,5.657424111941565e-05
Pets,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,5595.0,40,39,4,6.179106588966995e-05,0.00012572053582092366
